lat,lon,alt,time,dist,dt,ddist,vel_kmh,dalt,pendiente_%,aceleracion,consumo_kwh,consumo_acum_kwh
4.71349361,-74.10039825,2588.16,2025-09-17 18:02:23+00:00,91073.32370247129,2.0,17.088290281957597,30.758922507523675,-0.03000000000020009,-0.17555881545314758,-0.999070563340501,0.02050594833834912,109.28798844296544
4.71340505,-74.1005458,2587.88,2025-09-17 18:02:25+00:00,91092.41133156524,2.0,19.087629093948635,34.357732369107545,-0.27999999999974534,-1.466918697034583,1.799404930791935,0.02290515491273836,109.31089359787818
4.71335639,-74.10062533,2587.81,2025-09-17 18:02:26+00:00,91102.75312284165,1.0,10.34179127641255,37.230448595085186,-0.07000000000016371,-0.6768653333762303,2.8727162259776406,0.01241014953169506,109.32330374740987
4.71330387,-74.10070399,2587.77,2025-09-17 18:02:27+00:00,91113.24556997017,1.0,10.492447128519416,37.7728096626699,-0.03999999999996362,-0.38122660529058106,0.5423610675847144,0.012590936554223298,109.33589468396409
4.71321218,-74.10084743,2587.04,2025-09-17 18:02:29+00:00,91132.13011307352,2.0,18.8845431033551,33.99217758603918,-0.7300000000000182,-3.8655952437118994,-1.8903160383153583,0.02266145172402612,109.3585561356881
4.71310463,-74.10099591,2586.27,2025-09-17 18:02:31+00:00,91152.47133008509,2.0,20.34121701156255,36.614190620812586,-0.7699999999999818,-3.7854175566894104,1.3110065173867014,0.024409460413875057,109.38296559610198
4.71304806,-74.10107186,2586.32,2025-09-17 18:02:32+00:00,91162.97888205532,1.0,10.507551970236818,37.82718709285255,0.0500000000001819,0.4758482293669303,1.2129964720399613,0.012609062364284182,109.39557465846627
4.71299111,-74.10115211,2586.23,2025-09-17 18:02:33+00:00,91173.89632567327,1.0,10.917443617945537,39.30279702460393,-0.09000000000014552,-0.8243688096745296,1.4756099317513858,0.013100932341534645,109.4086755908078
4.7129372,-74.10123076,2586.01,2025-09-17 18:02:34+00:00,91184.47466938265,1.0,10.578343709377805,38.0820373537601,-0.2199999999997999,-2.0797206636873384,-1.220759670843833,0.012694012451253366,109.42136960325905
4.71284272,-74.10137911,2585.83,2025-09-17 18:02:36+00:00,91203.98474536197,2.0,19.510075979327667,35.1181367627898,-0.18000000000029104,-0.922600199973665,-1.4819502954851487,0.0234120911751932,109.44478169443424
4.71276189,-74.10150901,2584.97,2025-09-17 18:02:38+00:00,91220.95557994877,2.0,16.970834586798446,30.547502256237205,-0.8600000000001273,-5.067517425861415,-2.2853172532762986,0.020365001504158136,109.4651466959384
4.71267225,-74.10164609,2585.12,2025-09-17 18:02:40+00:00,91239.12478099157,2.0,18.169201042794157,32.704561877029484,0.15000000000009095,0.8255729002436265,1.0785298103961392,0.021803041251352986,109.48694973718976
4.71258124,-74.10179256,2585.3,2025-09-17 18:02:42+00:00,91258.25272315126,2.0,19.12794215969916,34.43029588745849,0.18000000000029104,0.9410317037633809,0.862867005214504,0.02295353059163899,109.5099032677814
4.71249001,-74.10192574,2586.09,2025-09-17 18:02:44+00:00,91276.16170307937,2.0,17.90897992810642,32.236163870591554,0.7899999999999636,4.411194848457754,-1.097066008433469,0.021490775913727705,109.53139404369513
4.71240919,-74.10204348,2586.42,2025-09-17 18:02:46+00:00,91292.00493724238,2.0,15.843234163010493,28.51782149341889,0.32999999999992724,2.08290805150368,-1.8591711885863322,0.01901188099561259,109.55040592469074
4.71233602,-74.10216038,2586.64,2025-09-17 18:02:48+00:00,91307.30271904977,2.0,15.297781807385036,27.536007253293064,0.2199999999997999,1.4381169948024388,-0.4909071200629125,0.018357338168862043,109.5687632628596
4.71226992,-74.1022712,2586.79,2025-09-17 18:02:50+00:00,91321.61510742088,2.0,14.312388371108682,25.762299067995627,0.15000000000009095,1.0480431086043223,-0.8868540926487185,0.017174866045330417,109.58593812890494
4.71221123,-74.10236347,2587.0,2025-09-17 18:02:52+00:00,91333.74545513133,2.0,12.130347710452043,21.83462587881368,0.21000000000003638,1.7311952222036564,-1.9638365945909744,0.01455641725254245,109.60049454615748
4.71215791,-74.10244252,2587.39,2025-09-17 18:02:55+00:00,91344.32344957243,3.0,10.577994441104238,12.693593329325086,0.38999999999987267,3.686899271608622,-3.047010849829531,0.012693593329325086,109.61318813948681
4.71209908,-74.10254732,2588.57,2025-09-17 18:03:31+00:00,91357.65288288593,36.0,13.329433313498157,1.3329433313498158,1.180000000000291,8.852589395569838,-0.31557361105486864,0.01599531997619779,109.62918345946301
4.71203559,-74.10264611,2588.66,2025-09-17 18:03:34+00:00,91370.67958746791,3.0,13.026704581978265,15.632045498373918,0.08999999999969077,0.6908884701676652,4.7663673890080345,0.01563204549837392,109.64481550496139
4.71198135,-74.1027352,2588.79,2025-09-17 18:03:36+00:00,91382.24890800164,2.0,11.569320533730206,20.82477696071437,0.13000000000010914,1.123661494390235,2.596365731170226,0.013883184640476248,109.65869868960186
4.71191334,-74.10283401,2589.04,2025-09-17 18:03:38+00:00,91395.5565263938,2.0,13.30761839216575,23.953713105898352,0.25,1.878623151285853,1.5644680725919908,0.0159691420705989,109.67466783167247
4.7118343,-74.10294056,2589.13,2025-09-17 18:03:40+00:00,91410.27615483581,2.0,14.71962844200607,26.495331195610927,0.09000000000014552,0.6114284769804954,1.2708090448562874,0.017663554130407284,109.69233138580287
4.71174732,-74.10306682,2589.29,2025-09-17 18:03:42+00:00,91427.28554103267,2.0,17.00938619686349,30.616895154354278,0.15999999999985448,0.9406571063061541,2.0607819793716757,0.020411263436236185,109.7127426492391
4.71165679,-74.10319634,2589.16,2025-09-17 18:03:44+00:00,91444.81697274292,2.0,17.53143171024567,31.556577078442206,-0.13000000000010914,-0.7415252909671657,0.4698409620439641,0.021037718052294804,109.7337803672914
4.71157219,-74.10332192,2589.14,2025-09-17 18:03:46+00:00,91461.61480313491,2.0,16.797830391995376,30.23609470559168,-0.01999999999998181,-0.11906299523962545,-0.6602411864252637,0.02015739647039445,109.7539377637618
4.71148919,-74.10344452,2589.23,2025-09-17 18:03:48+00:00,91478.03944562608,2.0,16.424642491168925,29.564356484104064,0.09000000000014552,0.547957132391381,-0.33586911074380765,0.019709570989402708,109.7736473347512
4.71140746,-74.10356242,2589.21,2025-09-17 18:03:50+00:00,91493.9548631063,2.0,15.915417480209726,28.647751464377507,-0.01999999999998181,-0.1256643127637156,-0.4583025098632785,0.01909850097625167,109.79274583572746
4.71132715,-74.10367926,2589.31,2025-09-17 18:03:52+00:00,91509.68381023628,2.0,15.728947129988228,28.31210483397881,0.09999999999990905,0.6357704630416918,-0.1678233151993478,0.018874736555985875,109.81162057228345
4.71124421,-74.10380575,2589.93,2025-09-17 18:03:54+00:00,91526.46313112845,2.0,16.779320892164833,30.2027776058967,0.6199999999998909,3.6950243933257285,0.9453363859589441,0.0201351850705978,109.83175575735405
